__lmer_samples__,expected,raw_samples,rel_pupil,rts,subID
60,unexpected,20,-0.010365786819004264,-183.16747769667472,47
60,expected,60,0.08713499462830936,166.83252230332528,47
60,expected,20,0.04424148088687243,16.832522303325277,47
60,expected,30,0.06100538116976417,-145.16747769667472,47
60,unexpected,60,0.06862263598815957,-65.16747769667472,47
60,expected,60,0.09121939889192152,-187.16747769667472,47
60,expected,20,-0.030751992969428033,-35.16747769667472,47
60,expected,60,0.18674601410977448,-210.16747769667472,47
60,expected,20,0.016461917773328505,352.8325223033253,47
60,unexpected,30,0.06445362931823997,39.83252230332528,47
60,expected,60,-0.039660370872352455,-49.16747769667472,47
60,expected,60,0.20545373470606823,-134.16747769667472,47
60,expected,20,-0.11329935239251036,-202.16747769667472,47
60,unexpected,60,0.07797478942980063,-124.16747769667472,47
60,expected,20,-0.20705292054645255,-72.16747769667472,47
60,expected,30,0.05221968339262743,-152.16747769667472,47
60,expected,60,-0.3035570110271565,-25.167477696674723,47
60,expected,60,0.3094134951112662,-48.16747769667472,47
60,expected,20,0.023969586235601525,-143.16747769667472,47
60,expected,60,-0.003724379944541845,45.83252230332528,47
60,expected,20,-0.04934522032340718,-48.16747769667472,47
60,expected,30,-0.1924678615209831,-50.16747769667472,47
60,expected,60,0.24564551011546604,138.83252230332528,47
60,expected,60,-0.04197923075908179,-93.16747769667472,47
60,expected,20,0.03027972754072583,-69.16747769667472,47
60,expected,60,0.13850426995074802,6.832522303325277,47
60,expected,20,-0.1469391209279617,-40.16747769667472,47
60,expected,30,0.17113512043218065,-114.16747769667472,47
60,expected,60,0.017199859192024426,201.83252230332528,47
60,expected,60,-0.014213007611421169,-162.16747769667472,47
60,expected,20,0.013673170070938712,115.83252230332528,47
60,expected,60,0.17486702083679515,2.832522303325277,47
60,unexpected,20,-0.12741582179821892,-12.167477696674723,47
60,expected,30,0.1758354960468435,100.83252230332528,47
60,expected,60,-0.02708698595949577,-84.16747769667472,47
60,expected,60,0.1713178829927855,-199.16747769667472,47
60,expected,20,-0.07102192996333523,-32.16747769667472,47
60,expected,60,0.0004592010130190616,-71.16747769667472,47
60,expected,20,0.04629220173660795,-252.16747769667472,47
60,expected,30,0.04459711389168204,1.8325223033252769,47
60,expected,60,0.263400350964421,282.8325223033253,47
60,expected,60,-0.061090005870189576,-56.16747769667472,47
60,expected,20,0.09307884888066398,10.832522303325277,47
60,expected,60,0.1020706877225996,58.83252230332528,47
60,expected,20,-0.034844743544113266,71.83252230332528,47
60,expected,30,-0.13031253696116818,135.83252230332528,47
60,unexpected,60,0.011812808528386665,-4.167477696674723,47
60,expected,60,-0.04958327172191086,12.832522303325277,47
60,expected,20,0.0380159339751958,28.832522303325277,47
60,expected,60,-0.11519871407399859,90.83252230332528,47
60,expected,20,0.010268876537184335,-67.16747769667472,47
60,unexpected,30,-0.002487866751469436,164.83252230332528,47
60,expected,60,0.2753712637160285,43.83252230332528,47
60,expected,60,-0.13828208703543945,-93.16747769667472,47
60,expected,20,0.18378995804960324,218.83252230332528,47
60,expected,60,-0.17151605059949313,-39.16747769667472,47
60,expected,20,0.22817029794694363,-100.16747769667472,47
60,expected,30,-0.37592396226923486,-119.16747769667472,47
60,expected,60,0.031449495661833596,-113.16747769667472,47
60,unexpected,60,-0.11305085172180532,-57.16747769667472,47
