__lmer_samples__,expected,raw_samples,rel_pupil,rts,subID
60,expected,90,0.016685650761433912,552,47
60,expected,90,-0.10878044013259394,496,47
60,expected,80,0.07618525112984705,692,47
60,expected,90,0.15573508582368367,595,47
60,expected,90,0.02795234101025672,425,47
60,expected,90,-0.12515674813751074,373,47
60,expected,90,0.13891773866643473,381,47
60,expected,90,-0.07898066887522148,677,47
60,unexpected,80,0.011484482077297553,606,47
60,expected,90,0.057123065915308004,544,47
60,unexpected,90,0.13022953064633577,877,47
60,expected,90,-0.04617356896954452,481,47
60,unexpected,90,-0.010365786819004264,438,47
60,expected,90,0.08713499462830936,788,47
60,expected,80,0.04424148088687243,638,47
60,expected,90,0.06100538116976417,476,47
60,unexpected,90,0.06862263598815957,556,47
60,expected,90,0.09121939889192152,434,47
60,expected,90,-0.030751992969428033,586,47
60,expected,90,0.18674601410977448,411,47
60,expected,80,0.016461917773328505,974,47
60,unexpected,90,0.06445362931823997,661,47
60,expected,90,-0.039660370872352455,572,47
60,expected,90,0.20545373470606823,487,47
60,expected,90,-0.11329935239251036,419,47
60,unexpected,90,0.07797478942980063,497,47
60,expected,80,-0.20705292054645255,549,47
60,expected,90,0.05221968339262743,469,47
60,expected,90,-0.3035570110271565,596,47
60,expected,90,0.3094134951112662,573,47
60,expected,90,0.023969586235601525,478,47
60,expected,90,-0.003724379944541845,667,47
60,expected,80,-0.04934522032340718,573,47
60,expected,90,-0.1924678615209831,571,47
60,expected,90,0.24564551011546604,760,47
60,expected,90,-0.04197923075908179,528,47
60,expected,90,0.03027972754072583,552,47
60,expected,90,0.13850426995074802,628,47
60,expected,80,-0.1469391209279617,581,47
60,expected,90,0.17113512043218065,507,47
60,expected,90,0.017199859192024426,823,47
60,expected,90,-0.014213007611421169,459,47
60,expected,90,0.013673170070938712,737,47
60,expected,90,0.17486702083679515,624,47
60,unexpected,80,-0.12741582179821892,609,47
60,expected,90,0.1758354960468435,722,47
60,expected,90,-0.02708698595949577,537,47
60,expected,90,0.1713178829927855,422,47
60,expected,90,-0.07102192996333523,589,47
60,expected,90,0.0004592010130190616,550,47
60,expected,80,0.04629220173660795,369,47
